,HH Transcription,dhamma.stream transcripts,open ai whisper raw
20190328 - 70hh - The stream-entry of Ajahn Chah.mp3,x,,
20190401 - 45hh - ON SUTTAS - The meaning of emptiness - MN 151.mp3,,,
20190404 - 64hh - Responsibility can free you from suffering.mp3,x,,
20190407 - 68hh - Ajahn Chahs die before you die.mp3,,,
20190411 - 63hh - Overcoming anxiety.mp3,x,,
20190428 - 75hh - Appointment with death (Marananussati) - Thag 6.13.mp3,x,,
20190504 - 73hh - Solitude amplifies the mind.mp3,,,
20190516 - 72hh - QA - Seeing the symptoms of your mind.mp3,,,
20190520 - 78hh - Letting go of your being - Ud 3.10.mp3,,,
20190524 - 76hh - Principle of paticcasamuppada in practice.mp3,,,
20190528 - 77hh - Look at the context not the object of your attention.mp3,,,
20190603 - 74hh - Dont be afraid to question yourself - Dhp 11-12.mp3,,,
20190606 - 79hh - Brief instruction on overcoming depression.mp3,x,,
20190610 - On Nanavira Thera - Notes on Dhamma - Part 9 - A Note on paticcasamuppada.mp3,,,
20190613 - 71hh - Ajahn Chah and the original mind.mp3,x,,
20190616 - 80hh - The island of safety.mp3,,,
20190620 - 80hh - GUIDED CONTEMPLATION - Anger.mp3,x,,
20190626 - 81hh - Not holding to fixed views is a view that is fixed.mp3,,,
20190703 - 82hh - GUIDED CONTEMPLATION - Why do I meditate.mp3,,,
20190710 - 83hh - Dont be faithful to ignorance.mp3,,,
20190719 - 85hh - Do you feel safe.mp3,,,
20190724 - 84hh - Faith can blind you.mp3,,,
20190726 - 86hh - QA - On dealing with hindrances nature of the sense of self.mp3,,,
20190729 - 123hh - ON SUTTAS - Acting out of ones emotions - SN 12.25.mp3,,,
20190804 - 94hh - QA - On loving-kindness practice.mp3,,,
20190808 - 128hh - DISCUSSIONS FROM A MOUNTAIN TOP #12 - On endurance timelessness in practice rebirth and abandoning of yourself - SN 12.70.mp3,,,
20190814 - 127hh - DISCUSSIONS FROM A MOUNTAIN TOP #13 - On motivation mindfulness done properly and dhamma interrogation.mp3,,,
20190818 - 98hh - The only 3 things youll ever need for the complete practice.mp3,,,
20190822 - 121hh - Enduring the dhamma interrogation - AN 2.47.mp3,,,
20190829 - 120hh - Dhamma interrogation of eye atta and sense of ownership.mp3,,,
